epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1564.6,0.58855,0.53477,0.91826,0.60289,0.36229,0.41264,0.33948,0.85554,2.02602,1.05246,9.26796e-05,9.26796e-05,9.26796e-05
43,1600.33,0.58792,0.5315,0.91923,0.59184,0.3648,0.3986,0.31606,0.90629,1.96606,1.09641,9.11352e-05,9.11352e-05,9.11352e-05
44,1635.99,0.58196,0.51824,0.91588,0.62496,0.34341,0.4084,0.33692,0.85049,1.97464,1.04673,8.95908e-05,8.95908e-05,8.95908e-05
45,1671.7,0.58314,0.52269,0.9132,0.67674,0.34308,0.39617,0.33001,0.86082,1.98249,1.04331,8.80464e-05,8.80464e-05,8.80464e-05
46,1707.52,0.57462,0.51056,0.91139,0.56631,0.37234,0.3985,0.33005,0.89106,1.99092,1.0541,8.6502e-05,8.6502e-05,8.6502e-05
47,1743.37,0.57728,0.51042,0.9102,0.72155,0.33421,0.40045,0.33376,0.85593,1.98715,1.04509,8.49576e-05,8.49576e-05,8.49576e-05
48,1779.04,0.57565,0.5003,0.91138,0.69885,0.34241,0.4223,0.34305,0.84422,1.89681,1.04023,8.34132e-05,8.34132e-05,8.34132e-05
49,1814.76,0.56585,0.49086,0.90527,0.51082,0.42731,0.44367,0.35707,0.84899,1.92373,1.04344,8.18688e-05,8.18688e-05,8.18688e-05
50,1850.51,0.57308,0.49912,0.91218,0.61038,0.35681,0.4141,0.33785,0.86061,1.99346,1.04752,8.03244e-05,8.03244e-05,8.03244e-05
51,1886.2,0.5632,0.49322,0.90751,0.65878,0.34166,0.41323,0.34471,0.86246,1.97749,1.04585,7.878e-05,7.878e-05,7.878e-05
52,1921.92,0.55885,0.47583,0.90509,0.59483,0.38946,0.42644,0.35381,0.82316,1.96853,1.03119,7.72356e-05,7.72356e-05,7.72356e-05
53,1957.62,0.55371,0.4702,0.90294,0.68088,0.34241,0.43366,0.36228,0.86054,1.90642,1.04756,7.56912e-05,7.56912e-05,7.56912e-05
54,1993.67,0.54701,0.46825,0.89948,0.60693,0.37952,0.43335,0.36419,0.87058,1.95034,1.05632,7.41468e-05,7.41468e-05,7.41468e-05
55,2030.91,0.55145,0.46745,0.90169,0.69712,0.33626,0.42763,0.35482,0.8672,1.92128,1.04808,7.26024e-05,7.26024e-05,7.26024e-05
56,2066.71,0.54751,0.46468,0.89963,0.68861,0.39341,0.46183,0.38212,0.84457,1.87019,1.04003,7.1058e-05,7.1058e-05,7.1058e-05
57,2102.36,0.54255,0.45453,0.89812,0.6022,0.39373,0.43458,0.35668,0.84318,1.91213,1.04182,6.95136e-05,6.95136e-05,6.95136e-05
58,2138.07,0.54829,0.46533,0.89848,0.69089,0.37465,0.44645,0.37254,0.84701,1.86913,1.04794,6.79692e-05,6.79692e-05,6.79692e-05
